date,in_jp,in_fr,in_tr,em_jp,em_fr,em_tr
20070213,1355176,1786376,13522,1233170,1751668,14431
20070214,1294226,1854148,13306,1271146,1775779,18487
20070215,1374293,2144760,17049,1435758,2128865,16432
20070216,1774634,1940002,17639,1818332,2080581,11819
20070217,1604107,1829338,12192,1552705,1705808,11631
20070218,1456787,2033372,11004,1462741,1999528,10699
20070219,1468345,1816608,13679,1479599,1823736,12716
20070220,1403496,1998488,16125,1455477,2008186,24102
20070221,1436386,2294917,18205,1295059,2170075,10889
20070222,1331819,1997964,10004,1493399,2142014,10237
20070223,1843939,2164369,11631,1745412,1975576,13534
20070224,1183666,2495362,16368,1234921,2524607,14868
20070225,1388836,2206980,14812,1317742,2183419,15491
20070226,1360735,2175886,14225,1336169,2125578,19860
20070227,1422671,2478403,18043,1480718,2452510,16691
20070228,1833092,2304997,18004,1888071,2453008,13208
20070229,1704807,2141718,12471,1622694,1994519,12357
20070230,1410813,2449843,11653,1459083,2438865,11622
20070231,1549609,2289082,14509,1546985,2260133,13797
20070232,1410080,2429261,14710,1469039,2455448,24387
20070233,1479500,2466152,20031,1423727,2397968,11286
20070234,1325270,2428482,11114,1390518,2526249,10867
20070235,1912124,2577739,12629,1807063,2370158,14352
20070236,1252052,2803778,17180,1356679,2876699,14540
20070237,1481754,2562328,15993,1383847,2531728,17090
20070238,1448600,2550151,15592,1421649,2503704,20672
20070239,1504890,2647901,19189,1557980,2622730,17492
20070240,1964601,2456384,19872,2033435,2594721,14607
20070241,1719802,2056228,13194,1630088,1966042,12155
20070242,1601792,2549306,12831,1646230,2470474,12582
20070243,1675859,2404934,15261,1673465,2385721,14712
20070244,1542710,2598719,18972,1629350,2606971,25568
20070245,1601915,2702560,19261,1452157,2653879,12054
20070246,1389824,2581770,11516,1534792,2642594,11099
20070247,2054155,2752194,13867,1929915,2588382,14231
20070248,1269871,2885456,17450,1666546,2946845,16459
20070249,1838301,2742819,16223,1437929,2650457,18002
20070250,1547666,2753983,14997,1520993,2737553,20827
20070251,1589288,2824777,20000,1659166,2825873,18384
20070252,2061962,2425830,19107,2109568,2587456,14944
20070253,1850064,2209000,14221,1751477,2032582,11812
20070254,1585490,2441612,12508,1663474,2390786,11737
20070255,1674511,2384737,13300,1642333,2366604,15187
20070256,1567008,2482441,19611,1712319,2537493,23909
20070257,1608306,2698824,19705,1380762,2667301,11438
20070258,1289648,1155960,11400,1316820,1429619,11814
20070259,521730,217679,7116,272697,317423,4889
20070260,38983,5312,312,3915,29566,856
20070261,14864,4488,586,5539,16875,1125
20070262,20615,8028,1296,10663,17980,2494
20070263,27135,10300,2244,20295,24975,4967
20070264,23939,15882,2658,37137,29718,3088
20070265,23351,18861,1824,31606,30943,2664
