yr_m,in_jp,in_fr,in_tr,em_jp,em_fr,em_tr
2011-06-01,1254522,500086,12241,1267227,466950,15551
2011-07-01,1420263,629428,14050,1465379,631536,13895
2011-08-01,1761235,643196,15810,1786412,675935,11234
2011-09-01,1665089,615422,9762,1637158,547975,9584
2011-10-01,1543785,687305,9442,1517525,675328,9127
2011-11-01,1484142,617612,9259,1497704,602172,9366
2011-12-01,1432637,629659,11814,1461425,695902,17119
2012-01-01,1387850,778147,14988,1331144,726368,8829
2012-02-01,1459781,620238,7968,1572587,644614,8891
2012-03-01,1818875,757044,8602,1737033,695200,9530
2012-04-01,1332851,860884,12424,1410963,895475,11415
2012-05-01,1492049,749701,9832,1431204,706997,12247
2012-06-01,1486432,734958,10914,1481674,716609,16532
2012-07-01,1555878,884344,15207,1598016,884019,13390
2012-08-01,1917727,842167,15487,1964041,910863,10346
2012-09-01,1726382,718096,10313,1622996,650033,9945
2012-10-01,1430732,765748,8973,1470289,744006,9005
2012-11-01,1425387,712155,10214,1434503,717107,10151
2012-12-01,1374151,748664,11988,1436188,804156,17444
2013-01-01,1423087,762021,15592,1360639,729926,8411
2013-02-01,1340327,802340,7609,1430633,823873,7116
2013-03-01,1785387,940210,8374,1652417,849047,8846
2013-04-01,1188842,993869,11043,1244438,1048515,10506
2013-05-01,1299433,946979,10613,1265170,888261,12284
2013-06-01,1313371,960443,10667,1299286,944554,16545
2013-07-01,1404738,1073416,13536,1454281,1071596,13531
2013-08-01,1799343,1005434,13796,1838683,1086971,9731
2013-09-01,1626155,943703,9220,1554254,864291,8662
2013-10-01,1446858,995178,7562,1495836,970220,7297
2013-11-01,1435062,908810,8878,1400278,909520,9783
2013-12-01,1359394,922818,13263,1476833,970772,18421
2014-01-01,1451393,1028454,15970,1253404,960541,8344
2014-02-01,1236720,955428,7767,1404873,1013285,7535
2014-03-01,1699721,1119220,9074,1596751,1025907,8939
2014-04-01,1164139,1298114,12406,1189132,1327590,12128
2014-05-01,1305488,1162610,11254,1280765,1116620,13126
2014-06-01,1302144,1105687,12159,1289029,1091312,17573
2014-07-01,1361483,1295402,14947,1414912,1276797,15170
2014-08-01,1752444,1196111,16281,1783127,1297490,11457
2014-09-01,1573292,1149728,9839,1520863,1037353,8835
2014-10-01,1374467,1325465,9780,1417766,1287124,8868
2014-11-01,1389593,1222473,10677,1355246,1237699,11289
2014-12-01,1304913,1291493,13505,1397520,1306831,18541
2015-01-01,1325720,1318970,15996,1235612,1276299,9533
2015-02-01,1207868,1433998,8619,1257154,1489672,9255
2015-03-01,1627144,1609041,10926,1534026,1451970,10316
2015-04-01,1082630,1788058,12665,1144833,1841625,13876
2015-05-01,1304975,1659593,12803,1262103,1610794,14319
2015-06-01,1212329,1550882,12229,1190806,1522877,17676
2015-07-01,1258400,1829444,14888,1309957,1766788,14915
2015-08-01,1628202,1766876,17175,1653622,1902158,11417
2015-09-01,1570715,1557577,11120,1525777,1443965,10602
2015-10-01,1363972,1781096,10155,1412468,1761825,9898
2015-11-01,1371356,1632903,11987,1339248,1640224,11525
2015-12-01,1305578,1759809,14856,1348183,1765423,21667
2016-01-01,1327934,1889140,18561,1276297,1840432,10890
2016-02-01,1249714,1890403,9278,1330972,1979637,9127
2016-03-01,1666757,1992420,10497,1550637,1768838,10882
2016-04-01,1112783,2043857,14694,1249586,2154095,15548
2016-05-01,1355176,1786376,13522,1233170,1751668,14431
2016-06-01,1294226,1854148,13306,1271146,1775779,18487
2016-07-01,1374293,2144760,17049,1435758,2128865,16432
2016-08-01,1774634,1940002,17639,1818332,2080581,11819
2016-09-01,1604107,1829338,12192,1552705,1705808,11631
2016-10-01,1456787,2033372,11004,1462741,1999528,10699
2016-11-01,1468345,1816608,13679,1479599,1823736,12716
2016-12-01,1403496,1998488,16125,1455477,2008186,24102
2017-01-01,1436386,2294917,18205,1295059,2170075,10889
2017-02-01,1331819,1997964,10004,1493399,2142014,10237
2017-03-01,1843939,2164369,11631,1745412,1975576,13534
2017-04-01,1183666,2495362,16368,1234921,2524607,14868
2017-05-01,1388836,2206980,14812,1317742,2183419,15491
2017-06-01,1360735,2175886,14225,1336169,2125578,19860
2017-07-01,1422671,2478403,18043,1480718,2452510,16691
2017-08-01,1833092,2304997,18004,1888071,2453008,13208
2017-09-01,1704807,2141718,12471,1622694,1994519,12357
2017-10-01,1410813,2449843,11653,1459083,2438865,11622
2017-11-01,1549609,2289082,14509,1546985,2260133,13797
2017-12-01,1410080,2429261,14710,1469039,2455448,24387
2018-01-01,1479500,2466152,20031,1423727,2397968,11286
2018-02-01,1325270,2428482,11114,1390518,2526249,10867
2018-03-01,1912124,2577739,12629,1807063,2370158,14352
2018-04-01,1252052,2803778,17180,1356679,2876699,14540
2018-05-01,1481754,2562328,15993,1383847,2531728,17090
2018-06-01,1448600,2550151,15592,1421649,2503704,20672
