yr_m,port,in_jp,in_fr,in_tr,em_jp,em_fr,em_tr
2007-01-01,尾道糸崎,0,0,0,0,0,0
2007-01-01,呉,0,0,0,2,6,0
2007-01-01,宇野,0,2,0,0,5,0
2007-01-01,土生,0,0,0,0,0,0
2007-01-01,水島,0,4,0,0,1,0
2007-01-01,浜田,0,0,0,0,0,0
2007-01-01,境,0,2,0,0,2,0
2007-01-01,福山,0,0,0,0,0,0
2007-01-01,常石,0,0,0,0,1,0
2007-01-01,瀬戸田,0,0,0,0,1,0
2007-01-01,安芸津,0,0,0,0,0,0
2007-01-01,能地,0,0,0,0,0,0
2007-01-01,米　　 子(空港),943,620,0,756,624,0
2007-01-01,出　　 雲(空港),0,0,0,0,0,0
2007-01-01,岡　　 山(空港),6648,1454,0,6632,983,0
2007-01-01,鳥　　 取(空港),0,0,0,0,0,0
2007-01-01,石　　 見(空港),0,0,0,0,0,0
2007-01-01,広　　 島(空港),12671,3774,0,11932,2271,0
2007-01-01,関　　 門(下関),1652,12265,0,872,11632,0
2007-01-01,宇部,0,0,0,2,4,0
2007-01-01,徳山下松,0,0,0,5,7,0
2007-01-01,萩,0,0,0,0,0,0
2007-01-01,岩　　 国(空港),0,0,0,0,1,0
2007-01-01,山口宇部(空港),0,0,0,0,0,0
2007-01-01,福　　 岡(空港),59448,35738,449,55254,34497,273
2007-01-01,博多,9881,31967,0,8124,30337,1
2007-01-01,三池,0,0,0,0,0,0
2007-01-01,唐津,0,0,0,0,4,0
2007-01-01,長崎,0,4,0,2,15,0
2007-01-01,佐世保,0,37,0,3,19,0
2007-01-01,厳原,20,1733,0,28,1957,0
2007-01-01,三角,0,0,0,0,0,0
2007-01-01,比田勝,28,1120,0,33,1296,0
2007-01-01,佐伯,0,0,0,0,0,0
2007-01-01,佐賀関,0,0,0,0,0,0
2007-01-01,大分,0,2,0,1,4,0
2007-01-01,水俣,0,0,0,0,0,0
2007-01-01,八代,0,0,0,0,0,0
2007-01-01,伊万里,0,0,0,1,6,0
2007-01-01,別府,0,0,0,0,0,0
2007-01-01,臼杵,0,0,0,0,5,0
2007-01-01,熊　　 本(空港),606,1561,10,697,1387,0
2007-01-01,長洲,0,0,0,0,0,0
2007-01-01,長　　 崎(空港),625,2011,8,591,1577,6
2007-01-01,大　　 分(空港),215,1465,0,228,754,0
2007-01-01,福　　 江(空港),0,0,0,0,0,0
2007-01-01,関　　 門(門司),0,2,0,1,3,0
2007-01-01,関　　 門(戸畑),0,0,0,0,1,0
2007-01-01,北 九 州(空港),906,333,0,944,128,0
2007-01-01,佐護,0,0,0,0,0,0
2007-01-01,鹿児島,0,1,0,0,0,0
2007-01-01,鹿 児 島(空港),1393,3781,1,1382,3534,0
2007-01-01,名瀬,0,0,0,0,0,0
2007-01-01,細島,0,0,0,0,0,0
2007-01-01,志布志,0,0,0,0,0,0
2007-01-01,喜入,0,0,0,0,2,0
2007-01-01,宮　　 崎(空港),476,3925,0,466,3370,0
2007-01-01,川内,0,0,0,0,0,0
2007-01-01,佐　　 賀(空港),0,531,0,1,549,0
2007-01-01,那覇,46,80,0,0,2,0
2007-01-01,那　　 覇(空港),4674,5950,1592,2847,6015,699
2007-01-01,嘉 手 納(空港),11,202,0,13,217,0
2007-01-01,平良,0,0,0,0,0,0
2007-01-01,石垣,725,6,0,77,59,0
2007-01-01,普 天 間(空港),0,3,0,0,0,0
2007-01-01,石　　 垣(空港),0,0,0,0,0,0
2007-01-01,本部,0,0,0,0,0,0
2007-01-01,金武中城,0,0,0,0,1,0
2007-01-01,その他,1,4,0,5,14,0
2007-02-01,釧路,0,0,0,0,0,0
2007-02-01,稚内,0,3,0,0,3,0
2007-02-01,根室,0,0,0,0,0,0
2007-02-01,小樽,0,222,0,0,211,0
2007-02-01,室蘭,0,0,0,2,3,0
2007-02-01,函館,0,0,0,0,2,0
2007-02-01,留萌,0,0,0,0,0,0
2007-02-01,苫小牧,0,0,0,1,0,0
2007-02-01,新 千 歳(空港),7364,32159,12,7897,31020,1
2007-02-01,網走,0,0,0,0,0,0
2007-02-01,花咲,0,0,0,0,0,0
2007-02-01,紋別,0,0,0,0,0,0
2007-02-01,函　　 館(空港),530,7959,0,451,8207,0
2007-02-01,釧　　 路(空港),8,2883,0,4,2283,0
2007-02-01,帯　　 広(空港),9,2980,0,6,2711,0
2007-02-01,石狩湾,0,0,0,0,0,0
2007-02-01,女 満 別(空港),2,302,0,0,235,0
2007-02-01,旭　　 川(空港),798,3487,0,880,3307,0
2007-02-01,中標津（空港）,0,0,0,0,0,0
2007-02-01,青森,0,0,0,0,0,0
2007-02-01,八戸,0,1,0,0,0,0
2007-02-01,釜石,0,0,0,0,0,0
2007-02-01,仙台塩釜,0,0,0,0,0,0
2007-02-01,小名浜,0,0,0,2,1,0
2007-02-01,酒田,0,0,0,0,0,0
2007-02-01,秋田船川,0,0,0,0,0,0
2007-02-01,宮古,0,0,0,0,0,0
2007-02-01,大船渡,0,0,0,0,0,0
2007-02-01,石巻,2,0,0,0,0,0
2007-02-01,三　　 沢(空港),0,0,0,0,0,0
2007-02-01,八　　 戸（空港）,0,0,0,0,0,0
2007-02-01,仙　　 台(空港),9095,5965,1,9108,6923,2
2007-02-01,秋　　 田(空港),1040,904,0,893,1049,0
2007-02-01,山　　 形(空港),0,0,0,0,0,0
2007-02-01,花　　 巻(空港),0,0,0,0,0,0
2007-02-01,青　　 森(空港),1099,1949,19,1163,1928,8
2007-02-01,庄　　 内(空港),0,0,0,0,0,0
2007-02-01,福　　 島(空港),1246,1322,0,1145,1458,0
2007-02-01,東京,29,1,0,17,0,0
